pos,change,player,player_id,country_id,country_name,country,team_id,team_name,team_url,points,careerbest,rankdate,player_url
42,(+10),Kamil Mishara,69647,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,545,635 v Pakistan at Rawalpindi 2025,2026-03-01,https://www.icc-cricket.com/rankings/69647/kamil-mishara
43,(+16),Sikandar Raza,25422,10,Zimbabwe,ZIM,10,Zimbabwe,https://www.icc-cricket.com/teams/10/zimbabwe-men/,544,544 v South Africa at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/25422/sikandar-raza
44,(-3),Parvez Hossain Emon,70418,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,542,542 v Ireland at Chittagong 2025,2026-03-01,https://www.icc-cricket.com/rankings/70418/parvez-hossain-emon
45,(-3),Shimron Hetmyer,64861,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,541,541 v India at Kolkata 2026,2026-03-01,https://www.icc-cricket.com/rankings/64861/shimron-hetmyer
46,(-4),Saif Hassan,65319,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,540,621 v Afghanistan at Sharjah 2025,2026-03-01,https://www.icc-cricket.com/rankings/65319/saif-hassan
47,(-2),Brandon King,64543,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,537,707 v South Africa at Jamaica 2024,2026-03-01,https://www.icc-cricket.com/rankings/64543/brandon-king
48,(-1),Tawhid Hridoy,67719,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,533,602 v Australia at Antigua 2024,2026-03-01,https://www.icc-cricket.com/rankings/67719/tawhid-hridoy
49,(-1),Richie Berrington,4023,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,530,597 v Oman at Oman 2021,2026-03-01,https://www.icc-cricket.com/rankings/4023/richie-berrington
=,(+8),Hardik Pandya,63751,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,530,531 v Zimbabwe at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/63751/hardik-pandya
51,(-5),Tristan Stubbs,74761,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,529,599 v India at Johannesburg 2024,2026-03-01,https://www.icc-cricket.com/rankings/74761/tristan-stubbs
52,(-1),Andries Gous,57274,20,USA,USA,22,USA,https://www.icc-cricket.com/teams/22/usa-men/,528,617 v Nepal at Dallas 2024,2026-03-01,https://www.icc-cricket.com/rankings/57274/andries-gous
53,(-11),Daryl Mitchell,57444,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,527,587 v Sri Lanka at Auckland 2023,2026-03-01,https://www.icc-cricket.com/rankings/57444/daryl-mitchell
54,(-2),Brandon McMullen,97960,16,Scotland,SCO,16,Scotland,https://www.icc-cricket.com/teams/16/scotland-men/,526,560 v Nepal at Glasgow 2025,2026-03-01,https://www.icc-cricket.com/rankings/97960/brandon-mcmullen
55,(-6),Sherfane Rutherford,67285,9,West Indies,WI,9,West Indies,https://www.icc-cricket.com/teams/9/west-indies-men/,525,541 v England at St Lucia 2024,2026-03-01,https://www.icc-cricket.com/rankings/67285/sherfane-rutherford
56,(-7),Mark Chapman,60536,5,New Zealand,NZ,5,New Zealand,https://www.icc-cricket.com/teams/5/new-zealand-men/,523,564 v England at Trent Bridge 2023,2026-03-01,https://www.icc-cricket.com/rankings/60536/mark-chapman
=,(-2),Litton Das,63206,2,Bangladesh,BAN,2,Bangladesh,https://www.icc-cricket.com/teams/2/bangladesh-men/,523,596 v Ireland at Chittagong 2023,2026-03-01,https://www.icc-cricket.com/rankings/63206/litton-das
58,(-2),Sediqullah Atal,70227,262,Afghanistan,AFG,1188,Afghanistan,https://www.icc-cricket.com/teams/1188/afghanistan-men/,520,520 v Canada at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/70227/sediqullah-atal
59,(-5),Ben Duckett,63082,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,518,635 v West Indies at Southampton 2025,2026-03-01,https://www.icc-cricket.com/rankings/63082/ben-duckett
60,(-1),Glenn Maxwell,10085,1,Australia,AUS,1,Australia,https://www.icc-cricket.com/teams/1/australia-men/,514,848 v Sri Lanka at Adelaide 2019,2026-03-01,https://www.icc-cricket.com/rankings/10085/glenn-maxwell
61,(-3),Shubman Gill,66818,4,India,IND,4,India,https://www.icc-cricket.com/teams/4/india-men/,505,616 v Sri Lanka at Pallekele 2024,2026-03-01,https://www.icc-cricket.com/rankings/66818/shubman-gill
62,(-1),Dipendra Singh Airee,66061,170,Nepal,NEP,637,Nepal,https://www.icc-cricket.com/teams/637/nepal-men/,503,517 v USA at Dallas 2024,2026-03-01,https://www.icc-cricket.com/rankings/66061/dipendra-singh-airee
=,(-1),Alishan Sharafu,70270,19,United Arab Emirates,UAE,21,United Arab Emirates,https://www.icc-cricket.com/teams/21/united-arab-emirates-men/,503,503 v South Africa at Delhi 2026,2026-03-01,https://www.icc-cricket.com/rankings/70270/alishan-sharafu
64,(-1),Shubham Ranjane,62006,20,USA,USA,22,USA,https://www.icc-cricket.com/teams/22/usa-men/,501,502 v Netherlands at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/62006/shubham-ranjane
65,(-1),Yuvraj Samra,110977,12,Canada,CAN,12,Canada,https://www.icc-cricket.com/teams/12/canada-men/,500,500 v Afghanistan at Chennai 2026,2026-03-01,https://www.icc-cricket.com/rankings/110977/yuvraj-samra
66,(+5),Will Jacks,66927,3,England,ENG,3,England,https://www.icc-cricket.com/teams/3/england-men/,495,495 v New Zealand at Colombo (RPS) 2026,2026-03-01,https://www.icc-cricket.com/rankings/66927/will-jacks
67,(-1),Max O'Dowd,65585,15,Netherlands,NED,15,Netherlands,https://www.icc-cricket.com/teams/15/netherlands-men/,491,555 v Kenya at Dubai (GCA) 2019,2026-03-01,https://www.icc-cricket.com/rankings/65585/max-o'dowd
=,(+5),Dasun Shanaka,59067,8,Sri Lanka,SL,8,Sri Lanka,https://www.icc-cricket.com/teams/8/sri-lanka-men/,491,522 v India at Rajkot 2023,2026-03-01,https://www.icc-cricket.com/rankings/59067/dasun-shanaka
69,(-1),Paul Stirling,4476,13,Ireland,IRE,13,Ireland,https://www.icc-cricket.com/teams/13/ireland-men/,487,607 v United Arab Emirates at Dubai (GCA) 2021,2026-03-01,https://www.icc-cricket.com/rankings/4476/paul-stirling
70,(-1),David Miller,5313,7,South Africa,SA,7,South Africa,https://www.icc-cricket.com/teams/7/south-africa-men/,485,600 v Sri Lanka at Cape Town 2019,2026-03-01,https://www.icc-cricket.com/rankings/5313/david-miller
